
AC101,AIRCON,Cebu City,130,41
AC102,AIRCON,Moalboal,180,41
ORD101,STANDARD,Alcoy,170,49
AC103,AIRCON,Oslob,220,41
ORD102,STANDARD,Oslob,190,49
AC104,AIRCON,Bogo City,190,41
ORD103,STANDARD,Bogo City,160,49
AC105,AIRCON,Santander,260,41
ORD104,STANDARD,Santander,230,49
AC106,AIRCON,Daanbantayan,240,41
ORD105,STANDARD,Daanbantayan,210,49
AC107,AIRCON,Hagnaya,200,41
AC108,AIRCON,Toledo City,120,41
ORD106,STANDARD,Toledo City,100,49
AC109,AIRCON,Carcar City,90,41
ORD107,STANDARD,Carcar City,70,49
AC110,AIRCON,Argao,150,41
ORD108,STANDARD,Argao,120,49
AC111,AIRCON,Dalaguete,170,41
AC112,AIRCON,Balamban,140,41
ORD109,STANDARD,Danao City,60,49
AC113,AIRCON,Samboan,230,41
AC114,AIRCON,Barili,150,41
ORD110,STANDARD,Pinamungajan,130,49
AC115,AIRCON,Medellin,230,41
